Headline,Date,url,description,image,include,section,title,hero,original_image_url
Borrowed time,8/4/09,https://flickr.com/photos/timmeko/3788350773/,Interactive maps created with Google's map API for flash. Map content was created with ArcView.,/Users/mekot/mcp-files/timmeko-dot-com/flickr/borrowed-time_3788350773_o.png,,more,Borrowed time,/assets/images/more-borrowed-time_3788350773_o.png,/Users/mekot/mcp-files/timmeko-dot-com/flickr/borrowed-time_3788350773_o.png
Building a snow fort,8/3/09,https://flickr.com/photos/timmeko/3786346248/,Showing children how to build a proper snow fort.,/Users/mekot/mcp-files/timmeko-dot-com/flickr/building-a-snow-fort_3786346248_o.jpg,1,more,Building a snow fort,/assets/images/more-building-a-snow-fort_3786346248_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/building-a-snow-fort_3786346248_o.jpg
Cannabis seizures,9/7/09,https://flickr.com/photos/timmeko/3897765880/,An interactive map of cannabis seizures in each of Ohio's counties. This map is set up so that it can be repurposed or updated from a spreadsheet with very little work and would take no more than five minutes,/Users/mekot/mcp-files/timmeko-dot-com/flickr/cannabis-seizures_3897765880_o.png,,more,Cannabis seizures,/assets/images/more-cannabis-seizures_3897765880_o.png,/Users/mekot/mcp-files/timmeko-dot-com/flickr/cannabis-seizures_3897765880_o.png
Cave dwellers,8/3/09,https://flickr.com/photos/timmeko/3786335734/,This is one of my favorite graphics. The double-truck infographic explains the different life forms found in Ohio's caves. The cave illustration was created out of aluminum foil which was then painted in Photoshop. View it full-sized for the full effect.,/Users/mekot/mcp-files/timmeko-dot-com/flickr/cave-dwellers_3786335734_o.jpg,1,more,Cave dwellers,/assets/images/more-cave-dwellers_3786335734_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/cave-dwellers_3786335734_o.jpg
Changing the Face of Immigration,3/26/13,https://flickr.com/photos/timmeko/8592643296/,A switch to a skill-based immigration system will shift the demographics of immigration in America.,/Users/mekot/mcp-files/timmeko-dot-com/flickr/changing-the-face-of-immigration_8592643296_o.jpg,,more,Changing the Face of Immigration,/assets/images/more-changing-the-face-of-immigration_8592643296_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/changing-the-face-of-immigration_8592643296_o.jpg
Chicago,8/3/09,https://flickr.com/photos/timmeko/3786336534/,,/Users/mekot/mcp-files/timmeko-dot-com/flickr/chicago_3786336534_o.jpg,,more,Chicago,/assets/images/more-chicago_3786336534_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/chicago_3786336534_o.jpg
Children of Immigrants Data Tool,5/7/14,https://flickr.com/photos/timmeko/14129545991/,"Interactive data tool that I designed and developed. Built using D3, HTML, CSS, and Javascript. View the interactive: datatools.urban.org/features/childrenOfImmigrants/chart/c...",/Users/mekot/mcp-files/timmeko-dot-com/flickr/children-of-immigrants-data-tool_14129545991_o.png,,more,Children of Immigrants Data Tool,/assets/images/more-children-of-immigrants-data-tool_14129545991_o.png,/Users/mekot/mcp-files/timmeko-dot-com/flickr/children-of-immigrants-data-tool_14129545991_o.png
Circuit,11/5/10,https://flickr.com/photos/timmeko/5147010781/,,/Users/mekot/mcp-files/timmeko-dot-com/flickr/circuit_5147010781_o.jpg,,more,Circuit,/assets/images/more-circuit_5147010781_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/circuit_5147010781_o.jpg
Columbus at a glance,8/3/09,https://flickr.com/photos/timmeko/3785517955/,A single day in the 'On the brink' series.,/Users/mekot/mcp-files/timmeko-dot-com/flickr/columbus-at-a-glance_3785517955_o.jpg,,more,Columbus at a glance,/assets/images/more-columbus-at-a-glance_3785517955_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/columbus-at-a-glance_3785517955_o.jpg
Comfest,1/30/10,https://flickr.com/photos/timmeko/4314469833/,illustration for Columbus' annual 'community festival.' Everything was drawn in Adobe Illustrator.,/Users/mekot/mcp-files/timmeko-dot-com/flickr/comfest_4314469833_o.jpg,1,more,Comfest,/assets/images/more-comfest_4314469833_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/comfest_4314469833_o.jpg
Countering counterfeiters,1/21/10,https://flickr.com/photos/timmeko/4291691541/,The anti-counterfeiting measures used in modern US currency.,/Users/mekot/mcp-files/timmeko-dot-com/flickr/countering-counterfeiters_4291691541_o.jpg,,more,Countering counterfeiters,/assets/images/more-countering-counterfeiters_4291691541_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/countering-counterfeiters_4291691541_o.jpg
Counting down to zero,8/3/09,https://flickr.com/photos/timmeko/3785522615/,Ways to make your home carbon neutral.,/Users/mekot/mcp-files/timmeko-dot-com/flickr/counting-down-to-zero_3785522615_o.jpg,1,more,Counting down to zero,/assets/images/more-counting-down-to-zero_3785522615_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/counting-down-to-zero_3785522615_o.jpg
Cracking the Codes,3/2/13,https://flickr.com/photos/timmeko/8522010140/,Illustration developed for The Center for Public Integrity.,/Users/mekot/mcp-files/timmeko-dot-com/flickr/cracking-the-codes_8522010140_l.jpg,1,more,Cracking the Codes,/assets/images/more-cracking-the-codes_8522010140_l.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/cracking-the-codes_8522010140_l.jpg
Death Perceptions,8/4/09,https://flickr.com/photos/timmeko/3788353233/,"I designed and programmed this interactive package about those who deal with death on a daily basis as part of their jobs. Features included video, interactive graphics and databases. www.dispatch.com/death",/Users/mekot/mcp-files/timmeko-dot-com/flickr/death-perceptions_3788353233_o.png,,more,Death Perceptions,/assets/images/more-death-perceptions_3788353233_o.png,/Users/mekot/mcp-files/timmeko-dot-com/flickr/death-perceptions_3788353233_o.png
Digitizing Abuse,3/26/13,https://flickr.com/photos/timmeko/8591545717/,One in four teens in a relationship are abused via technology. (illustrations by Daniel Wolfe),/Users/mekot/mcp-files/timmeko-dot-com/flickr/digitizing-abuse_8591545717_o.jpg,,more,Digitizing Abuse,/assets/images/more-digitizing-abuse_8591545717_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/digitizing-abuse_8591545717_o.jpg
Eclipsing Hank,1/30/10,https://flickr.com/photos/timmeko/4314470075/,prototype for the day that Barry Bonds surpassed Hank Aaron's home run record,/Users/mekot/mcp-files/timmeko-dot-com/flickr/eclipsing-hank_4314470075_o.jpg,,more,Eclipsing Hank,/assets/images/more-eclipsing-hank_4314470075_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/eclipsing-hank_4314470075_o.jpg
El Nino,9/11/09,https://flickr.com/photos/timmeko/3909054779/,,/Users/mekot/mcp-files/timmeko-dot-com/flickr/el-nino_3909054779_o.jpg,,more,El Nino,/assets/images/more-el-nino_3909054779_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/el-nino_3909054779_o.jpg
