Headline,Date,url,description,image,include,section,title,hero,original_image_url
Why North Carolina's House Districts may be redrawn,31-Aug-18,http://www.washingtonpost.com/graphics/2018/politics/north-carolina-redistricting/,"On Aug. 27, a panel of federal judges ordered North Carolina to draw new districts -- just 10 weeks before Nov. 6 -- throwing the election into chaos.",https://www.washingtonpost.com/r/2010-2019/WashingtonPost/2018/08/31/National-Politics/Graphics/2300-ncgerrymandering0831.jpg,1,more,Why North Carolina's House Districts may be redrawn,/assets/images/more-2300-ncgerrymandering0831.jpg,https://www.washingtonpost.com/r/2010-2019/WashingtonPost/2018/08/31/National-Politics/Graphics/2300-ncgerrymandering0831.jpg
360-degree drone images show the devastation of the Carr Fire,10-Aug-18,http://www.washingtonpost.com/graphics/2018/national/carr-fire-360/,,https://www.washingtonpost.com/graphics/2018/national/carr-fire-360/img/promo-Carr360-0810.jpg,1,more,360-degree drone images show the devastation of the Carr Fire,/assets/images/more-promo-Carr360-0810.jpg,https://www.washingtonpost.com/graphics/2018/national/carr-fire-360/img/promo-Carr360-0810.jpg
California took a radical step to fix gerrymandering. Did it work?,13-Jun-18,http://www.washingtonpost.com/graphics/2018/national/gerrymandering-in-california-where-do-you-draw-the-lines/,"In most states, elected officials draw district lines to benefit politicians or parties. But California handed that power to ordinary citizens and other states are considering it.",https://www.washingtonpost.com/graphics/2018/national/gerrymandering-in-california-where-do-you-draw-the-lines/img/gerrymandering-social.jpg,1,more,California took a radical step to fix gerrymandering. Did it work?,/assets/images/more-gerrymandering-social.jpg,https://www.washingtonpost.com/graphics/2018/national/gerrymandering-in-california-where-do-you-draw-the-lines/img/gerrymandering-social.jpg
Five reasons the crisis in Yemen matters,8-Jun-18,http://www.washingtonpost.com/graphics/2018/world/why-yemen-matters/,"Long overshadowed by conflicts and intrigues elsewhere in the Middle East, Yemen is increasingly hard to ignore.",https://www.washingtonpost.com/graphics/2018/world/why-yemen-matters/img/yemen-promo.jpg,1,more,Five reasons the crisis in Yemen matters,/assets/images/more-yemen-promo.jpg,https://www.washingtonpost.com/graphics/2018/world/why-yemen-matters/img/yemen-promo.jpg
A net result?,27-May-18,http://www.washingtonpost.com/graphics/2018/sports/holtby-fleury/,Seven-game series often have turned on the play of the goaltenders. Here's how the starting netminders for the Capitals and Golden Knights compare,https://www.washingtonpost.com/graphics/2018/sports/holtby-fleury/img/holtby-fluery-promo.jpg,1,more,A net result?,/assets/images/more-holtby-fluery-promo.jpg,https://www.washingtonpost.com/graphics/2018/sports/holtby-fleury/img/holtby-fluery-promo.jpg
Gaza's deadly border,15-May-18,https://www.washingtonpost.com/news/world/wp/2018/05/15/feature/gazas-deadly-border/,Tens of thousands of Palestinians gathered near the fence separating Gaza from Israel. More than 60 Palestinians were killed by Israeli security forces after the demonstrations turned violent.,https://www.washingtonpost.com/pbox.php?url=http://www.washingtonpost.com/news/world/wp-content/uploads/sites/7/2018/05/nassargaza.jpg&w=1484&op=resize&opt=1&filter=antialias&t=20170517,,more,Gaza's deadly border,/assets/images/more-pbox.php,https://www.washingtonpost.com/pbox.php?url=http://www.washingtonpost.com/news/world/wp-content/uploads/sites/7/2018/05/nassargaza.jpg&w=1484&op=resize&opt=1&filter=antialias&t=20170517
?There?s too many men?; What happens when women are outnumbered on a massive scale,18-Apr-18,http://www.washingtonpost.com/graphics/2018/world/too-many-men/,China and India have 70 million more men than women. The consequences are far-reaching.,https://www.washingtonpost.com/rf/image_1024w/2010-2019/WashingtonPost/2018/04/17/Production/Daily/Sports/Images/toomanymen-shareimage.jpg,1,more,?There?s too many men?; What happens when women are outnumbered on a massive scale,/assets/images/more-toomanymen-shareimage.jpg,https://www.washingtonpost.com/rf/image_1024w/2010-2019/WashingtonPost/2018/04/17/Production/Daily/Sports/Images/toomanymen-shareimage.jpg
The Washington Post stories that preceded Trump?s tweets about Amazon,5-Apr-18,http://www.washingtonpost.com/graphics/2018/politics/trump-tweets-amazon-washington-post/,"Since taking office, President Trump has not been shy about expressing his thoughts on Twitter.",https://www.washingtonpost.com/graphics/2018/politics/trump-tweets-amazon-washington-post/img/2300trumptweetpromo.jpg,1,more,The Washington Post stories that preceded Trump?s tweets about Amazon,/assets/images/more-2300trumptweetpromo.jpg,https://www.washingtonpost.com/graphics/2018/politics/trump-tweets-amazon-washington-post/img/2300trumptweetpromo.jpg
"A powerful gay activist, a rural conservative town and a civil rights debate that won't end",2-Apr-18,https://www.washingtonpost.com/news/style/wp/2018/04/02/feature/the-last-frontier-for-gay-rights/,"This rural, North Carolina community has strong ties to Christianity — and a factory owned by LGBT advocate Mitchell Gold.",https://www.washingtonpost.com/pbox.php?url=http://www.washingtonpost.com/news/style/wp-content/uploads/sites/4/2018/03/w-goldshare2.jpg&w=1484&op=resize&opt=1&filter=antialias&t=20170517,1,more,"A powerful gay activist, a rural conservative town and a civil rights debate that won't end",/assets/images/more-pbox.php,https://www.washingtonpost.com/pbox.php?url=http://www.washingtonpost.com/news/style/wp-content/uploads/sites/4/2018/03/w-goldshare2.jpg&w=1484&op=resize&opt=1&filter=antialias&t=20170517
This map shows every inch of snow that fell on the lower 48 this year,23-Mar-18,http://www.washingtonpost.com/graphics/2018/national/snow-accumulation/,The 2017-18 winter was one for the record books,https://www.washingtonpost.com/r/2010-2019/WashingtonPost/2018/03/23/Health-Environment-Science/Graphics/promo-SnowAccum2018.jpg,1,more,This map shows every inch of snow that fell on the lower 48 this year,/assets/images/more-promo-SnowAccum2018.jpg,https://www.washingtonpost.com/r/2010-2019/WashingtonPost/2018/03/23/Health-Environment-Science/Graphics/promo-SnowAccum2018.jpg
